category,title,icon,url,cid,desc,style,remark
Media,Channel-[i],channeli,-,UCAz6rveBalVnE6qTmfQnvyQ,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1723/output/index.m3u8
Media,RTV,rtv,-,UC2P5Fd5g41Gtdqf0Uzh8Qaw,-,https://tvsen6.aynaott.com/rtv/tracks-v1a1/mono.ts.m3u8,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/rtv-sg.stream/playlist.m3u8
Media,NTV,ntv,-,UC0V3IJCnr6ZNjB9t_GLhFFA,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1716/output/index.m3u8
Media,T SPORTS,tsports,https://rashedan.short.gy/Bank.m3u8,UC2t9imwIR7xlDfma3CmRKJQ,-,-,-
Media,DEEPTO TV,deepto_tv,https://byphdgllyk.gpcdn.net/hls/deeptotv/index.m3u8,-,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1711/output/index.m3u8
Media,MASRANGA TV,masranga_tv,https://mtv.sunplex.live/MAASRANGA-TV/index.m3u8,-,https://maasranga.tv/live-streaming/fvp-3/#fvp_3,-,https://mtv.sunplex.live/MAASRANGA-TV/tracks-v1a1/mono.m3u8
Media,BanglaVision,banglavision,-,UCA4y9g_GRdNrZLH_u5LLSdw,-,https://www.bvnews24.com/live/,https://owrcovcrpy.gpcdn.net/bpk-tv/1715/output/index.m3u8
Media,ANANDA TV,ananda_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/anandatv.stream/playlist.m3u8,-,🌏📡🚦Live-Telecast [Official ],-,https://anandatv.tv/
Media,MovieBangla,moviebangla_tv,http://alvetv.com/moviebanglatv/8080/index.m3u8,-,-,-,http://alvetv.com/mbtv/8080/index.m3u8
Media,ME TV,me_tv,https://iptvbd.live/metv1080/1080.m3u8,-,-,-,-
Media,MY TV,my_tv,https://mytvbangla.com/0.m3u8,-,-,-,-
Media,GTV,gtv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/gazibdz.stream/tracks-v1a1/mono.ts.m3u8,-,-,-,http://stvlive.net:8080/gtv/index.m3u8
Media,DOYEL TV,doyel_tv,https://doyel-admin.fillup.tech/memfs/aa3aa6f7-ec12-41a2-8183-a891e157bbf8.m3u8,UCyaJSpx2uzAIsaMqJHmdqMQ,-,-,https://doyeltv.com/
Media,BoishakhiTv,boishakhi_tv,https://boishakhi.sonarbanglatv.com/boishakhi/boishakhitv/index.m3u8,-,-,-,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/boishakhitv-org.stream/playlist.m3u8
News,Channel24,channel24,-,UCHLqIOMPk20w-6cFgkA90jw,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1703/output/index.m3u8
News,NEWS24,news24,-,UCb2O5Uo4a26CdTE7_2QA-jA,-,-,-
News,JamunaTV,jamunatv,-,UCN6sm8iHiPd0cnoUardDAnw,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1701/output/index.m3u8
News,SomoyTV,somoytv,-,UCxHoBXkY88Tb8z1Ssj6CWsQ,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1702/output/index.m3u8
News,DBC-TV,dbc_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/dbcnews.stream/playlist.m3u8,UCUvXoiDEKI8VZJrr58g4VAw,-,https://dbcnews.tv/live/,https://tvsen6.aynaott.com/dbcnews/tracks-v1a1/mono.ts.m3u8
News,Ekattor TV,ekattor_tv,-,UCtqvtAVmad5zywaziN6CbfA,-,-,https://owrcovcrpy.gpcdn.net/bpk-tv/1705/output/index.m3u8
